1: France, 0, 10;
2: France, 1, 10;
3: France, 2, 10; France, 1, 4;
4: France, 2, 10; Spain, 3, 10;
5: Spain, 3, 20; France, 2, 4;
6: Spain, 3, 14; France, 5, 10;
112: France, 52, 58; Spain, 21, 34; France, 34, 24;
113: France, 52, 58; Spain, 21, 44; France, 34, 24;
114: France, 52, 58; Spain, 21, 44; France, 34, 24;
115: France, 52, 58; Spain, 21, 44; France, 34, 24;
116: France, 52, 58; Spain, 21, 54; France, 34, 24;
117: France, 52, 58; Spain, 21, 54; Italy, 46, 34;
118: France, 52, 68; Spain, 21, 48; Italy, 46, 34;
119: France, 52, 68; Spain, 21, 48; Italy, 46, 34;
120: France, 52, 68; Spain, 21, 48; Italy, 46, 34;
121: France, 52, 68; Spain, 21, 48; Italy, 46, 34;
122: France, 52, 68; Spain, 21, 48; Italy, 46, 34;
123: France, 52, 68; Spain, 21, 48; Italy, 46, 34;
124: France, 52, 68; Spain, 21, 42; Italy, 46, 34;
125: France, 52, 68; Spain, 21, 42; Italy, 46, 34;
126: France, 52, 68; Spain, 21, 42; Italy, 46, 34;
127: France, 52, 78; Spain, 21, 42; Italy, 46, 34;
128: France, 52, 78; Spain, 21, 42; Italy, 46, 28;
129: France, 52, 78; Spain, 21, 42; Italy, 50, 34;
130: France, 52, 78; Spain, 21, 42; Italy, 50, 34;
131: France, 52, 82; Spain, 21, 42; Italy, 50, 34;
132: France, 52, 82; Spain, 21, 42; Italy, 77, 34;
133: France, 52, 82; Spain, 21, 42; Italy, 77, 34;
134: France, 52, 82; Spain, 21, 42; Italy, 77, 34;
135: France, 52, 76; Spain, 21, 42; Italy, 77, 34;
136: France, 52, 70; Spain, 21, 42; Italy, 77, 34;
137: France, 52, 70; Spain, 21, 42; Italy, 77, 34;
138: France, 52, 64; Spain, 21, 42; Italy, 77, 34;
139: France, 52, 64; Spain, 21, 42; Italy, 77, 34;
140: France, 52, 64; Spain, 21, 42; Italy, 77, 34;
141: France, 52, 64; Spain, 21, 42; Italy, 77, 34;
142: France, 52, 60; Spain, 21, 42; Italy, 77, 34;
143: France, 52, 60; Spain, 21, 42; Italy, 77, 34;
144: France, 52, 60; Spain, 21, 42; Italy, 77, 34;
145: France, 52, 60; Spain, 21, 36; Italy, 77, 34;
146: France, 52, 70; Spain, 21, 36; Italy, 77, 34;
147: France, 52, 80; Spain, 21, 36; Italy, 77, 34;
148: France, 52, 80; Spain, 21, 36; Italy, 77, 34;
149: France, 52, 80; Spain, 21, 36; Italy, 77, 34;
150: France, 52, 80; Spain, 21, 36; Italy, 77, 34;
151: France, 52, 80; Spain, 21, 36; Italy, 77, 34;
152: France, 52, 80; Italy, 77, 34; Spain, 89, 34;
153: France, 52, 80; Spain, 89, 34; Spain, 21, 32;
154: France, 52, 80; Spain, 89, 34; Spain, 21, 32;
155: France, 52, 76; Spain, 89, 34; Spain, 21, 32;
156: France, 52, 70; Spain, 89, 34; Spain, 21, 32;
157: France, 52, 70; Spain, 89, 34; Spain, 21, 32;
158: France, 52, 70; Italy, 50, 38; Spain, 89, 34;
159: France, 52, 70; Italy, 50, 38; Spain, 89, 34;
160: France, 52, 70; Italy, 50, 38; Spain, 21, 36;
161: France, 52, 70; Italy, 50, 38; Spain, 21, 36;
162: France, 52, 70; Italy, 50, 38; Spain, 21, 36;
163: France, 52, 70; Italy, 50, 38; Spain, 89, 34;
164: France, 52, 70; Italy, 50, 38; France, 82, 34;
165: France, 52, 70; Italy, 50, 38; France, 82, 34;
166: France, 52, 74; Italy, 50, 38; France, 82, 34;
167: France, 52, 74; Italy, 50, 38; France, 82, 34;
168: France, 52, 84; Italy, 50, 38; France, 82, 34;
169: France, 52, 84; Italy, 148, 40; Italy, 50, 38;
170: France, 52, 84; Italy, 148, 40; Italy, 50, 38;
